"# DATASET= tango://g-v-csdb-0.maxiv.lu.se:10000/R3-311M2/DIA/BPM-02/fa"
# t, [x, y]
2023-09-24_04:54:00.019725592, [-140062, -117273]
2023-09-24_04:54:00.019824220, [-140247, -117437]
2023-09-24_04:54:00.019922847, [-140291, -117502]
2023-09-24_04:54:00.020021475, [-140396, -117453]
2023-09-24_04:54:00.020120103, [-140341, -117414]
2023-09-24_04:54:00.020218731, [-140347, -117430]
2023-09-24_04:54:00.020317359, [-140439, -117333]
2023-09-24_04:54:00.020415987, [-140596, -117205]
2023-09-24_04:54:00.020514615, [-140590, -117239]
2023-09-24_04:54:00.020613243, [-140517, -117330]
2023-09-24_04:54:00.020711871, [-140526, -117341]
2023-09-24_04:54:00.020810499, [-140701, -117394]
2023-09-24_04:54:00.020909127, [-140784, -117449]
2023-09-24_04:54:00.021007755, [-140773, -117419]
2023-09-24_04:54:00.021106383, [-140772, -117333]
2023-09-24_04:54:00.021205011, [-140697, -117315]
2023-09-24_04:54:00.021303639, [-140759, -117393]
2023-09-24_04:54:00.021402267, [-140778, -117368]
2023-09-24_04:54:00.021500895, [-140744, -117346]
2023-09-24_04:54:00.021599523, [-140773, -117327]
2023-09-24_04:54:00.021698151, [-140952, -117314]
2023-09-24_04:54:00.021796779, [-141075, -117332]
2023-09-24_04:54:00.021895407, [-140997, -117247]
2023-09-24_04:54:00.021994035, [-141053, -117159]
2023-09-24_04:54:00.022092663, [-141317, -117137]
2023-09-24_04:54:00.022191291, [-141495, -117141]
2023-09-24_04:54:00.022289919, [-141427, -117213]
2023-09-24_04:54:00.022388546, [-141324, -117318]
2023-09-24_04:54:00.022487174, [-141325, -117295]
2023-09-24_04:54:00.022585802, [-141202, -117114]
2023-09-24_04:54:00.022684430, [-140964, -116946]
2023-09-24_04:54:00.022783058, [-141017, -116984]
2023-09-24_04:54:00.022881686, [-141090, -117113]
2023-09-24_04:54:00.022980314, [-141151, -117172]
2023-09-24_04:54:00.023078942, [-141083, -117120]
2023-09-24_04:54:00.023177570, [-140941, -117014]
2023-09-24_04:54:00.023276198, [-140887, -116960]
2023-09-24_04:54:00.023374826, [-140702, -116991]
2023-09-24_04:54:00.023473454, [-140675, -117181]
2023-09-24_04:54:00.023572082, [-140840, -117353]
2023-09-24_04:54:00.023670710, [-140848, -117226]
2023-09-24_04:54:00.023769338, [-140827, -117151]
2023-09-24_04:54:00.023867966, [-140927, -117176]
2023-09-24_04:54:00.023966594, [-140961, -117223]
2023-09-24_04:54:00.024065222, [-140893, -117246]
2023-09-24_04:54:00.024163850, [-140848, -117186]
2023-09-24_04:54:00.024262478, [-140838, -117291]
2023-09-24_04:54:00.024361106, [-141036, -117381]
2023-09-24_04:54:00.024459734, [-141193, -117288]
2023-09-24_04:54:00.024558362, [-141123, -117252]
2023-09-24_04:54:00.024656990, [-141141, -117355]
2023-09-24_04:54:00.024755618, [-141145, -117322]
2023-09-24_04:54:00.024854245, [-141144, -117200]
2023-09-24_04:54:00.024952873, [-141122, -117192]
2023-09-24_04:54:00.025051501, [-141100, -117303]
2023-09-24_04:54:00.025150129, [-141226, -117429]
2023-09-24_04:54:00.025248757, [-141432, -117481]
2023-09-24_04:54:00.025347385, [-141433, -117377]
2023-09-24_04:54:00.025446013, [-141281, -117360]
2023-09-24_04:54:00.025544641, [-141252, -117367]
2023-09-24_04:54:00.025643269, [-141212, -117278]
2023-09-24_04:54:00.025741897, [-141222, -117336]
2023-09-24_04:54:00.025840525, [-141239, -117430]
2023-09-24_04:54:00.025939153, [-141078, -117530]
2023-09-24_04:54:00.026037781, [-140941, -117572]
2023-09-24_04:54:00.026136409, [-140891, -117475]
2023-09-24_04:54:00.026235037, [-140920, -117460]
2023-09-24_04:54:00.026333665, [-140925, -117569]
2023-09-24_04:54:00.026432293, [-140827, -117663]
2023-09-24_04:54:00.026530921, [-140851, -117686]
2023-09-24_04:54:00.026629549, [-140902, -117573]
2023-09-24_04:54:00.026728177, [-140828, -117396]
2023-09-24_04:54:00.026826805, [-140792, -117462]
2023-09-24_04:54:00.026925433, [-140735, -117624]
2023-09-24_04:54:00.027024061, [-140783, -117649]
2023-09-24_04:54:00.027122689, [-140866, -117551]
2023-09-24_04:54:00.027221317, [-140689, -117507]
2023-09-24_04:54:00.027319944, [-140477, -117576]
2023-09-24_04:54:00.027418572, [-140325, -117593]
2023-09-24_04:54:00.027517200, [-140259, -117575]
2023-09-24_04:54:00.027615828, [-140272, -117546]
2023-09-24_04:54:00.027714456, [-140076, -117573]
2023-09-24_04:54:00.027813084, [-140001, -117564]
2023-09-24_04:54:00.027911712, [-140061, -117557]
2023-09-24_04:54:00.028010340, [-139993, -117606]
2023-09-24_04:54:00.028108968, [-139953, -117597]
2023-09-24_04:54:00.028207596, [-139842, -117478]
2023-09-24_04:54:00.028306224, [-139677, -117481]
2023-09-24_04:54:00.028404852, [-139533, -117492]
2023-09-24_04:54:00.028503480, [-139477, -117444]
2023-09-24_04:54:00.028602108, [-139522, -117535]
2023-09-24_04:54:00.028700736, [-139462, -117511]
2023-09-24_04:54:00.028799364, [-139279, -117601]
2023-09-24_04:54:00.028897992, [-139185, -117749]
2023-09-24_04:54:00.028996620, [-139137, -117727]
2023-09-24_04:54:00.029095248, [-139015, -117749]
2023-09-24_04:54:00.029193876, [-139005, -117758]
2023-09-24_04:54:00.029292504, [-138956, -117633]
2023-09-24_04:54:00.029391132, [-138903, -117554]
2023-09-24_04:54:00.029489760, [-138925, -117591]
2023-09-24_04:54:00.029588388, [-138902, -117470]
2023-09-24_04:54:00.029687016, [-138917, -117490]
2023-09-24_04:54:00.029785643, [-138999, -117551]
2023-09-24_04:54:00.029884271, [-139087, -117506]
2023-09-24_04:54:00.029982899, [-139104, -117519]
2023-09-24_04:54:00.030081527, [-139090, -117500]
2023-09-24_04:54:00.030180155, [-139137, -117666]
2023-09-24_04:54:00.030278783, [-139258, -117806]
2023-09-24_04:54:00.030377411, [-139322, -117755]
2023-09-24_04:54:00.030476039, [-139352, -117691]
2023-09-24_04:54:00.030574667, [-139363, -117580]
2023-09-24_04:54:00.030673295, [-139392, -117457]
2023-09-24_04:54:00.030771923, [-139520, -117435]
2023-09-24_04:54:00.030870551, [-139699, -117442]
2023-09-24_04:54:00.030969179, [-139807, -117365]
2023-09-24_04:54:00.031067807, [-139988, -117445]
2023-09-24_04:54:00.031166435, [-140292, -117517]
2023-09-24_04:54:00.031265063, [-140412, -117476]
2023-09-24_04:54:00.031363691, [-140373, -117547]
2023-09-24_04:54:00.031462319, [-140305, -117416]
2023-09-24_04:54:00.031560947, [-140455, -117255]
2023-09-24_04:54:00.031659575, [-140597, -117347]
2023-09-24_04:54:00.031758203, [-140632, -117389]
2023-09-24_04:54:00.031856831, [-140671, -117358]
2023-09-24_04:54:00.031955459, [-140652, -117290]
2023-09-24_04:54:00.032054087, [-140661, -117315]
2023-09-24_04:54:00.032152715, [-140719, -117375]
2023-09-24_04:54:00.032251342, [-140898, -117333]
2023-09-24_04:54:00.032349970, [-141083, -117264]
2023-09-24_04:54:00.032448598, [-141171, -117306]
2023-09-24_04:54:00.032547226, [-141162, -117430]
2023-09-24_04:54:00.032645854, [-141184, -117531]
2023-09-24_04:54:00.032744482, [-141257, -117505]
2023-09-24_04:54:00.032843110, [-141199, -117352]
2023-09-24_04:54:00.032941738, [-141054, -117353]
2023-09-24_04:54:00.033040366, [-141031, -117292]
2023-09-24_04:54:00.033138994, [-141044, -117293]
2023-09-24_04:54:00.033237622, [-141160, -117414]
2023-09-24_04:54:00.033336250, [-141360, -117493]
2023-09-24_04:54:00.033434878, [-141367, -117500]
