"# DATASET= tango://g-v-csdb-0.maxiv.lu.se:10000/R3-315M2/DIA/BPM-02/fa"
# t, [x, y]
2023-09-24_04:54:00.022388546, [11608, -82111]
2023-09-24_04:54:00.022487174, [11575, -82288]
2023-09-24_04:54:00.022585802, [11489, -82313]
2023-09-24_04:54:00.022684430, [11378, -82260]
2023-09-24_04:54:00.022783058, [11294, -82204]
2023-09-24_04:54:00.022881686, [11166, -82115]
2023-09-24_04:54:00.022980314, [11119, -82134]
2023-09-24_04:54:00.023078942, [11014, -82099]
2023-09-24_04:54:00.023177570, [10992, -82086]
2023-09-24_04:54:00.023276198, [11171, -82260]
2023-09-24_04:54:00.023374826, [11209, -82352]
2023-09-24_04:54:00.023473454, [11131, -82350]
2023-09-24_04:54:00.023572082, [11059, -82242]
2023-09-24_04:54:00.023670710, [11147, -82184]
2023-09-24_04:54:00.023769338, [11109, -82233]
2023-09-24_04:54:00.023867966, [10995, -82162]
2023-09-24_04:54:00.023966594, [11056, -82265]
2023-09-24_04:54:00.024065222, [11163, -82231]
2023-09-24_04:54:00.024163850, [11325, -82132]
2023-09-24_04:54:00.024262478, [11261, -82198]
2023-09-24_04:54:00.024361106, [11201, -82174]
2023-09-24_04:54:00.024459734, [11294, -82229]
2023-09-24_04:54:00.024558362, [11281, -82223]
2023-09-24_04:54:00.024656990, [11329, -82229]
2023-09-24_04:54:00.024755618, [11316, -82292]
2023-09-24_04:54:00.024854245, [11216, -82315]
2023-09-24_04:54:00.024952873, [11338, -82240]
2023-09-24_04:54:00.025051501, [11454, -82206]
2023-09-24_04:54:00.025150129, [11327, -82251]
2023-09-24_04:54:00.025248757, [11131, -82372]
2023-09-24_04:54:00.025347385, [10979, -82551]
2023-09-24_04:54:00.025446013, [11019, -82490]
2023-09-24_04:54:00.025544641, [10938, -82391]
2023-09-24_04:54:00.025643269, [10786, -82308]
2023-09-24_04:54:00.025741897, [10860, -82330]
2023-09-24_04:54:00.025840525, [10892, -82376]
2023-09-24_04:54:00.025939153, [10829, -82365]
2023-09-24_04:54:00.026037781, [10779, -82307]
2023-09-24_04:54:00.026136409, [10768, -82268]
2023-09-24_04:54:00.026235037, [10792, -82122]
2023-09-24_04:54:00.026333665, [10808, -82074]
2023-09-24_04:54:00.026432293, [10779, -82201]
2023-09-24_04:54:00.026530921, [10739, -82358]
2023-09-24_04:54:00.026629549, [10782, -82513]
2023-09-24_04:54:00.026728177, [10832, -82430]
2023-09-24_04:54:00.026826805, [11019, -82339]
2023-09-24_04:54:00.026925433, [11174, -82415]
2023-09-24_04:54:00.027024061, [11296, -82364]
2023-09-24_04:54:00.027122689, [11164, -82287]
2023-09-24_04:54:00.027221317, [10975, -82316]
2023-09-24_04:54:00.027319944, [11113, -82400]
2023-09-24_04:54:00.027418572, [11267, -82525]
2023-09-24_04:54:00.027517200, [11273, -82591]
2023-09-24_04:54:00.027615828, [11320, -82544]
2023-09-24_04:54:00.027714456, [11411, -82582]
2023-09-24_04:54:00.027813084, [11343, -82513]
2023-09-24_04:54:00.027911712, [11229, -82399]
2023-09-24_04:54:00.028010340, [11219, -82336]
2023-09-24_04:54:00.028108968, [11200, -82318]
2023-09-24_04:54:00.028207596, [11050, -82308]
2023-09-24_04:54:00.028306224, [11136, -82216]
2023-09-24_04:54:00.028404852, [11444, -82219]
2023-09-24_04:54:00.028503480, [11627, -82278]
2023-09-24_04:54:00.028602108, [11688, -82358]
2023-09-24_04:54:00.028700736, [11707, -82278]
2023-09-24_04:54:00.028799364, [11663, -82175]
2023-09-24_04:54:00.028897992, [11618, -82195]
2023-09-24_04:54:00.028996620, [11674, -82182]
2023-09-24_04:54:00.029095248, [11807, -82200]
2023-09-24_04:54:00.029193876, [11863, -82163]
2023-09-24_04:54:00.029292504, [11865, -82237]
2023-09-24_04:54:00.029391132, [12003, -82309]
2023-09-24_04:54:00.029489760, [12063, -82261]
2023-09-24_04:54:00.029588388, [12115, -82278]
2023-09-24_04:54:00.029687016, [12151, -82221]
2023-09-24_04:54:00.029785643, [12078, -82082]
2023-09-24_04:54:00.029884271, [12202, -82138]
2023-09-24_04:54:00.029982899, [12371, -82243]
2023-09-24_04:54:00.030081527, [12332, -82283]
2023-09-24_04:54:00.030180155, [12270, -82223]
2023-09-24_04:54:00.030278783, [12306, -82167]
2023-09-24_04:54:00.030377411, [12456, -82128]
2023-09-24_04:54:00.030476039, [12403, -82121]
2023-09-24_04:54:00.030574667, [12238, -82140]
2023-09-24_04:54:00.030673295, [12235, -82088]
2023-09-24_04:54:00.030771923, [12198, -82013]
2023-09-24_04:54:00.030870551, [12151, -81913]
2023-09-24_04:54:00.030969179, [12255, -82054]
2023-09-24_04:54:00.031067807, [12234, -82229]
2023-09-24_04:54:00.031166435, [12020, -82131]
2023-09-24_04:54:00.031265063, [11907, -82138]
2023-09-24_04:54:00.031363691, [11992, -82110]
2023-09-24_04:54:00.031462319, [12157, -82009]
2023-09-24_04:54:00.031560947, [12137, -82097]
2023-09-24_04:54:00.031659575, [12172, -82227]
2023-09-24_04:54:00.031758203, [12215, -82195]
2023-09-24_04:54:00.031856831, [12027, -81966]
2023-09-24_04:54:00.031955459, [11897, -81929]
2023-09-24_04:54:00.032054087, [11884, -82034]
2023-09-24_04:54:00.032152715, [11911, -82058]
2023-09-24_04:54:00.032251342, [11985, -82026]
2023-09-24_04:54:00.032349970, [12166, -81939]
2023-09-24_04:54:00.032448598, [12187, -81904]
2023-09-24_04:54:00.032547226, [12117, -81835]
2023-09-24_04:54:00.032645854, [12148, -81860]
2023-09-24_04:54:00.032744482, [12294, -81916]
2023-09-24_04:54:00.032843110, [12389, -82004]
2023-09-24_04:54:00.032941738, [12222, -81956]
2023-09-24_04:54:00.033040366, [12117, -81864]
2023-09-24_04:54:00.033138994, [12132, -81760]
2023-09-24_04:54:00.033237622, [12115, -81794]
2023-09-24_04:54:00.033336250, [12155, -81946]
2023-09-24_04:54:00.033434878, [12156, -82057]
2023-09-24_04:54:00.033533506, [12049, -82120]
2023-09-24_04:54:00.033632134, [12058, -82047]
2023-09-24_04:54:00.033730762, [12047, -81992]
2023-09-24_04:54:00.033829390, [12032, -81875]
2023-09-24_04:54:00.033928018, [12172, -81845]
2023-09-24_04:54:00.034026646, [12264, -81952]
2023-09-24_04:54:00.034125274, [12254, -82032]
2023-09-24_04:54:00.034223902, [12115, -82179]
2023-09-24_04:54:00.034322530, [12129, -82174]
2023-09-24_04:54:00.034421158, [12191, -82108]
2023-09-24_04:54:00.034519786, [12058, -82043]
2023-09-24_04:54:00.034618414, [11932, -82114]
2023-09-24_04:54:00.034717041, [11985, -82247]
2023-09-24_04:54:00.034815669, [12013, -82186]
2023-09-24_04:54:00.034914297, [11942, -82002]
2023-09-24_04:54:00.035012925, [11941, -81941]
2023-09-24_04:54:00.035111553, [11945, -82137]
2023-09-24_04:54:00.035210181, [12015, -82219]
2023-09-24_04:54:00.035308809, [11870, -82050]
2023-09-24_04:54:00.035407437, [11624, -82008]
2023-09-24_04:54:00.035506065, [11557, -82146]
2023-09-24_04:54:00.035604693, [11492, -82238]
2023-09-24_04:54:00.035703321, [11476, -82410]
2023-09-24_04:54:00.035801949, [11638, -82462]
2023-09-24_04:54:00.035900577, [11795, -82371]
2023-09-24_04:54:00.035999205, [11714, -82319]
2023-09-24_04:54:00.036097833, [11571, -82313]
2023-09-24_04:54:00.036196461, [11522, -82241]
2023-09-24_04:54:00.036295089, [11537, -82116]
2023-09-24_04:54:00.036393717, [11462, -82075]
2023-09-24_04:54:00.036492345, [11276, -82185]
2023-09-24_04:54:00.036590973, [11305, -82097]
2023-09-24_04:54:00.036689601, [11388, -82066]
2023-09-24_04:54:00.036788229, [11516, -82325]
2023-09-24_04:54:00.036886857, [11691, -82497]
2023-09-24_04:54:00.036985485, [11601, -82473]
2023-09-24_04:54:00.037084113, [11508, -82436]
2023-09-24_04:54:00.037182740, [11469, -82381]
2023-09-24_04:54:00.037281368, [11438, -82165]
2023-09-24_04:54:00.037379996, [11549, -81975]
2023-09-24_04:54:00.037478624, [11637, -81961]
2023-09-24_04:54:00.037577252, [11556, -82056]
2023-09-24_04:54:00.037675880, [11541, -82134]
2023-09-24_04:54:00.037774508, [11651, -82123]
2023-09-24_04:54:00.037873136, [11673, -82046]
2023-09-24_04:54:00.037971764, [11597, -82129]
2023-09-24_04:54:00.038070392, [11587, -82176]
2023-09-24_04:54:00.038169020, [11767, -82173]
2023-09-24_04:54:00.038267648, [11875, -82262]
2023-09-24_04:54:00.038366276, [11780, -82372]
2023-09-24_04:54:00.038464904, [11774, -82387]
2023-09-24_04:54:00.038563532, [11742, -82148]
2023-09-24_04:54:00.038662160, [11846, -81940]
2023-09-24_04:54:00.038760788, [12080, -81963]
2023-09-24_04:54:00.038859416, [12199, -81994]
2023-09-24_04:54:00.038958044, [12389, -82041]
2023-09-24_04:54:00.039056672, [12568, -82111]
2023-09-24_04:54:00.039155300, [12593, -82113]
2023-09-24_04:54:00.039253928, [12589, -82110]
2023-09-24_04:54:00.039352556, [12583, -82182]
2023-09-24_04:54:00.039451184, [12665, -82104]
2023-09-24_04:54:00.039549812, [12726, -82002]
2023-09-24_04:54:00.039648440, [12740, -82027]
2023-09-24_04:54:00.039747067, [12829, -82054]
2023-09-24_04:54:00.039845695, [12813, -82013]
2023-09-24_04:54:00.039944323, [12746, -82033]
2023-09-24_04:54:00.040042951, [12819, -82077]
2023-09-24_04:54:00.040141579, [12797, -82071]
