"# DATASET= tango://g-v-csdb-0.maxiv.lu.se:10000/R3-306U1/DIA/BPM-01/fa"
# t, [x, y]
2023-09-24_04:54:00.024755618, [674, -3936]
2023-09-24_04:54:00.024854245, [180, -3894]
2023-09-24_04:54:00.024952873, [-70, -3802]
2023-09-24_04:54:00.025051501, [-53, -3667]
2023-09-24_04:54:00.025150129, [383, -3685]
2023-09-24_04:54:00.025248757, [1013, -3753]
2023-09-24_04:54:00.025347385, [1242, -3767]
2023-09-24_04:54:00.025446013, [971, -3706]
2023-09-24_04:54:00.025544641, [724, -3613]
2023-09-24_04:54:00.025643269, [637, -3550]
2023-09-24_04:54:00.025741897, [468, -3663]
2023-09-24_04:54:00.025840525, [427, -3747]
2023-09-24_04:54:00.025939153, [108, -3662]
2023-09-24_04:54:00.026037781, [57, -3626]
2023-09-24_04:54:00.026136409, [596, -3682]
2023-09-24_04:54:00.026235037, [662, -3773]
2023-09-24_04:54:00.026333665, [296, -3776]
2023-09-24_04:54:00.026432293, [54, -3721]
2023-09-24_04:54:00.026530921, [185, -3762]
2023-09-24_04:54:00.026629549, [589, -3695]
2023-09-24_04:54:00.026728177, [695, -3582]
2023-09-24_04:54:00.026826805, [531, -3627]
2023-09-24_04:54:00.026925433, [227, -3686]
2023-09-24_04:54:00.027024061, [80, -3609]
2023-09-24_04:54:00.027122689, [161, -3594]
2023-09-24_04:54:00.027221317, [119, -3638]
2023-09-24_04:54:00.027319944, [-41, -3546]
2023-09-24_04:54:00.027418572, [75, -3467]
2023-09-24_04:54:00.027517200, [524, -3558]
2023-09-24_04:54:00.027615828, [436, -3683]
2023-09-24_04:54:00.027714456, [-236, -3667]
2023-09-24_04:54:00.027813084, [-539, -3622]
2023-09-24_04:54:00.027911712, [-193, -3628]
2023-09-24_04:54:00.028010340, [108, -3618]
2023-09-24_04:54:00.028108968, [417, -3554]
2023-09-24_04:54:00.028207596, [604, -3557]
2023-09-24_04:54:00.028306224, [264, -3592]
2023-09-24_04:54:00.028404852, [-205, -3586]
2023-09-24_04:54:00.028503480, [-719, -3513]
2023-09-24_04:54:00.028602108, [-522, -3477]
2023-09-24_04:54:00.028700736, [164, -3553]
2023-09-24_04:54:00.028799364, [356, -3608]
2023-09-24_04:54:00.028897992, [-169, -3520]
2023-09-24_04:54:00.028996620, [-757, -3449]
2023-09-24_04:54:00.029095248, [-843, -3394]
2023-09-24_04:54:00.029193876, [-363, -3422]
2023-09-24_04:54:00.029292504, [79, -3383]
2023-09-24_04:54:00.029391132, [126, -3373]
2023-09-24_04:54:00.029489760, [-14, -3388]
2023-09-24_04:54:00.029588388, [-347, -3382]
2023-09-24_04:54:00.029687016, [-561, -3429]
2023-09-24_04:54:00.029785643, [-665, -3474]
2023-09-24_04:54:00.029884271, [-744, -3618]
2023-09-24_04:54:00.029982899, [-942, -3651]
2023-09-24_04:54:00.030081527, [-963, -3474]
2023-09-24_04:54:00.030180155, [-753, -3339]
2023-09-24_04:54:00.030278783, [-353, -3321]
2023-09-24_04:54:00.030377411, [132, -3423]
2023-09-24_04:54:00.030476039, [360, -3434]
2023-09-24_04:54:00.030574667, [208, -3309]
2023-09-24_04:54:00.030673295, [-192, -3444]
2023-09-24_04:54:00.030771923, [-448, -3532]
2023-09-24_04:54:00.030870551, [-604, -3504]
2023-09-24_04:54:00.030969179, [-558, -3470]
2023-09-24_04:54:00.031067807, [-145, -3457]
2023-09-24_04:54:00.031166435, [247, -3487]
2023-09-24_04:54:00.031265063, [236, -3460]
2023-09-24_04:54:00.031363691, [-76, -3409]
2023-09-24_04:54:00.031462319, [-407, -3490]
2023-09-24_04:54:00.031560947, [-310, -3663]
2023-09-24_04:54:00.031659575, [151, -3693]
2023-09-24_04:54:00.031758203, [452, -3494]
2023-09-24_04:54:00.031856831, [259, -3338]
2023-09-24_04:54:00.031955459, [-85, -3385]
2023-09-24_04:54:00.032054087, [-116, -3407]
2023-09-24_04:54:00.032152715, [-21, -3370]
2023-09-24_04:54:00.032251342, [-116, -3492]
2023-09-24_04:54:00.032349970, [33, -3676]
2023-09-24_04:54:00.032448598, [21, -3639]
2023-09-24_04:54:00.032547226, [-440, -3557]
2023-09-24_04:54:00.032645854, [-412, -3613]
2023-09-24_04:54:00.032744482, [-115, -3512]
2023-09-24_04:54:00.032843110, [-200, -3467]
2023-09-24_04:54:00.032941738, [-316, -3599]
2023-09-24_04:54:00.033040366, [81, -3742]
2023-09-24_04:54:00.033138994, [282, -3799]
2023-09-24_04:54:00.033237622, [290, -3694]
2023-09-24_04:54:00.033336250, [308, -3506]
2023-09-24_04:54:00.033434878, [9, -3442]
2023-09-24_04:54:00.033533506, [-412, -3404]
2023-09-24_04:54:00.033632134, [-660, -3449]
2023-09-24_04:54:00.033730762, [-238, -3550]
2023-09-24_04:54:00.033829390, [55, -3546]
2023-09-24_04:54:00.033928018, [191, -3541]
2023-09-24_04:54:00.034026646, [608, -3552]
2023-09-24_04:54:00.034125274, [400, -3501]
2023-09-24_04:54:00.034223902, [-94, -3511]
2023-09-24_04:54:00.034322530, [-189, -3631]
2023-09-24_04:54:00.034421158, [30, -3629]
2023-09-24_04:54:00.034519786, [11, -3560]
2023-09-24_04:54:00.034618414, [-141, -3502]
2023-09-24_04:54:00.034717041, [84, -3545]
2023-09-24_04:54:00.034815669, [296, -3651]
2023-09-24_04:54:00.034914297, [130, -3588]
2023-09-24_04:54:00.035012925, [-207, -3507]
2023-09-24_04:54:00.035111553, [-56, -3586]
2023-09-24_04:54:00.035210181, [129, -3672]
2023-09-24_04:54:00.035308809, [74, -3620]
2023-09-24_04:54:00.035407437, [139, -3572]
2023-09-24_04:54:00.035506065, [336, -3640]
2023-09-24_04:54:00.035604693, [531, -3656]
2023-09-24_04:54:00.035703321, [450, -3622]
2023-09-24_04:54:00.035801949, [60, -3465]
2023-09-24_04:54:00.035900577, [-309, -3356]
2023-09-24_04:54:00.035999205, [-596, -3420]
2023-09-24_04:54:00.036097833, [-538, -3588]
2023-09-24_04:54:00.036196461, [-53, -3645]
2023-09-24_04:54:00.036295089, [217, -3611]
2023-09-24_04:54:00.036393717, [272, -3615]
2023-09-24_04:54:00.036492345, [575, -3664]
2023-09-24_04:54:00.036590973, [1013, -3721]
2023-09-24_04:54:00.036689601, [809, -3669]
2023-09-24_04:54:00.036788229, [183, -3596]
2023-09-24_04:54:00.036886857, [-85, -3663]
2023-09-24_04:54:00.036985485, [-299, -3675]
2023-09-24_04:54:00.037084113, [-452, -3541]
2023-09-24_04:54:00.037182740, [-472, -3593]
2023-09-24_04:54:00.037281368, [-281, -3679]
2023-09-24_04:54:00.037379996, [-56, -3717]
2023-09-24_04:54:00.037478624, [15, -3619]
2023-09-24_04:54:00.037577252, [395, -3492]
2023-09-24_04:54:00.037675880, [823, -3581]
2023-09-24_04:54:00.037774508, [513, -3721]
2023-09-24_04:54:00.037873136, [-170, -3777]
2023-09-24_04:54:00.037971764, [-432, -3790]
2023-09-24_04:54:00.038070392, [-301, -3753]
2023-09-24_04:54:00.038169020, [-349, -3664]
2023-09-24_04:54:00.038267648, [-455, -3680]
2023-09-24_04:54:00.038366276, [-167, -3664]
