"# DATASET= tango://g-v-csdb-0.maxiv.lu.se:10000/R3-319U2/DIA/BPM-01/fa"
# t, [x, y]
2023-09-24_04:54:00.017358520, [-1610, 87]
2023-09-24_04:54:00.017457148, [-2106, 128]
2023-09-24_04:54:00.017555776, [-2479, 105]
2023-09-24_04:54:00.017654404, [-2119, 98]
2023-09-24_04:54:00.017753032, [-1628, 72]
2023-09-24_04:54:00.017851660, [-1874, -89]
2023-09-24_04:54:00.017950288, [-2464, -87]
2023-09-24_04:54:00.018048916, [-2785, -59]
2023-09-24_04:54:00.018147544, [-2634, -33]
2023-09-24_04:54:00.018246172, [-2293, 35]
2023-09-24_04:54:00.018344800, [-2070, 92]
2023-09-24_04:54:00.018443428, [-2214, 100]
2023-09-24_04:54:00.018542056, [-2785, -66]
2023-09-24_04:54:00.018640684, [-3304, -131]
2023-09-24_04:54:00.018739312, [-3845, -111]
2023-09-24_04:54:00.018837940, [-4389, -160]
2023-09-24_04:54:00.018936568, [-4373, -152]
2023-09-24_04:54:00.019035196, [-3952, -118]
2023-09-24_04:54:00.019133824, [-3469, -40]
2023-09-24_04:54:00.019232452, [-3048, -47]
2023-09-24_04:54:00.019331080, [-2916, -21]
2023-09-24_04:54:00.019429708, [-3015, -5]
2023-09-24_04:54:00.019528336, [-3342, 2]
2023-09-24_04:54:00.019626964, [-3774, -84]
2023-09-24_04:54:00.019725592, [-3682, -30]
2023-09-24_04:54:00.019824220, [-3405, 89]
2023-09-24_04:54:00.019922847, [-3783, -117]
2023-09-24_04:54:00.020021475, [-4148, -303]
2023-09-24_04:54:00.020120103, [-4083, -338]
2023-09-24_04:54:00.020218731, [-3325, -235]
2023-09-24_04:54:00.020317359, [-2353, 8]
2023-09-24_04:54:00.020415987, [-1797, 31]
2023-09-24_04:54:00.020514615, [-1742, -1]
2023-09-24_04:54:00.020613243, [-2245, 36]
2023-09-24_04:54:00.020711871, [-2718, -1]
2023-09-24_04:54:00.020810499, [-2606, 21]
2023-09-24_04:54:00.020909127, [-1940, -13]
2023-09-24_04:54:00.021007755, [-1670, -61]
2023-09-24_04:54:00.021106383, [-1751, -8]
2023-09-24_04:54:00.021205011, [-1795, -19]
2023-09-24_04:54:00.021303639, [-2112, -91]
2023-09-24_04:54:00.021402267, [-2444, -61]
2023-09-24_04:54:00.021500895, [-2532, 32]
2023-09-24_04:54:00.021599523, [-2371, 64]
2023-09-24_04:54:00.021698151, [-1677, 8]
2023-09-24_04:54:00.021796779, [-1017, 0]
2023-09-24_04:54:00.021895407, [-810, -5]
2023-09-24_04:54:00.021994035, [-583, 47]
2023-09-24_04:54:00.022092663, [-378, 60]
2023-09-24_04:54:00.022191291, [-533, -16]
2023-09-24_04:54:00.022289919, [-1168, 50]
2023-09-24_04:54:00.022388546, [-1663, 95]
2023-09-24_04:54:00.022487174, [-1494, 113]
2023-09-24_04:54:00.022585802, [-1296, 33]
2023-09-24_04:54:00.022684430, [-1327, -86]
2023-09-24_04:54:00.022783058, [-1237, 48]
2023-09-24_04:54:00.022881686, [-1085, 136]
2023-09-24_04:54:00.022980314, [-708, 92]
2023-09-24_04:54:00.023078942, [-532, 124]
2023-09-24_04:54:00.023177570, [-691, 244]
2023-09-24_04:54:00.023276198, [-842, 205]
2023-09-24_04:54:00.023374826, [-1068, 82]
2023-09-24_04:54:00.023473454, [-1120, 111]
2023-09-24_04:54:00.023572082, [-868, 131]
2023-09-24_04:54:00.023670710, [-628, 70]
2023-09-24_04:54:00.023769338, [-415, 33]
2023-09-24_04:54:00.023867966, [-410, 155]
2023-09-24_04:54:00.023966594, [-718, 213]
2023-09-24_04:54:00.024065222, [-970, 166]
2023-09-24_04:54:00.024163850, [-1110, 141]
2023-09-24_04:54:00.024262478, [-742, 172]
2023-09-24_04:54:00.024361106, [123, 190]
2023-09-24_04:54:00.024459734, [622, 134]
2023-09-24_04:54:00.024558362, [600, 183]
2023-09-24_04:54:00.024656990, [315, 293]
2023-09-24_04:54:00.024755618, [-55, 238]
2023-09-24_04:54:00.024854245, [-269, 116]
2023-09-24_04:54:00.024952873, [-382, 104]
2023-09-24_04:54:00.025051501, [-374, 61]
2023-09-24_04:54:00.025150129, [81, 2]
2023-09-24_04:54:00.025248757, [785, -54]
2023-09-24_04:54:00.025347385, [1092, 28]
2023-09-24_04:54:00.025446013, [981, 41]
2023-09-24_04:54:00.025544641, [849, -158]
2023-09-24_04:54:00.025643269, [690, -121]
