"# DATASET= tango://g-v-csdb-0.maxiv.lu.se:10000/R3-302M1/DIA/BPM-02/fa"
# t, [x, y]
2023-09-24_04:54:00.020711871, [-738, 5581]
2023-09-24_04:54:00.020810499, [-763, 5530]
2023-09-24_04:54:00.020909127, [-677, 5530]
2023-09-24_04:54:00.021007755, [-408, 5468]
2023-09-24_04:54:00.021106383, [-362, 5403]
2023-09-24_04:54:00.021205011, [-387, 5305]
2023-09-24_04:54:00.021303639, [-394, 5350]
2023-09-24_04:54:00.021402267, [-522, 5390]
2023-09-24_04:54:00.021500895, [-869, 5453]
2023-09-24_04:54:00.021599523, [-958, 5414]
2023-09-24_04:54:00.021698151, [-549, 5337]
2023-09-24_04:54:00.021796779, [-193, 5434]
2023-09-24_04:54:00.021895407, [-282, 5450]
2023-09-24_04:54:00.021994035, [-262, 5346]
2023-09-24_04:54:00.022092663, [-125, 5435]
2023-09-24_04:54:00.022191291, [-347, 5575]
2023-09-24_04:54:00.022289919, [-558, 5536]
2023-09-24_04:54:00.022388546, [-573, 5525]
2023-09-24_04:54:00.022487174, [-477, 5536]
2023-09-24_04:54:00.022585802, [-558, 5598]
2023-09-24_04:54:00.022684430, [-595, 5683]
2023-09-24_04:54:00.022783058, [-410, 5623]
2023-09-24_04:54:00.022881686, [-322, 5631]
2023-09-24_04:54:00.022980314, [-331, 5684]
2023-09-24_04:54:00.023078942, [-324, 5556]
2023-09-24_04:54:00.023177570, [-231, 5368]
2023-09-24_04:54:00.023276198, [-115, 5383]
2023-09-24_04:54:00.023374826, [-366, 5399]
2023-09-24_04:54:00.023473454, [-562, 5311]
2023-09-24_04:54:00.023572082, [-352, 5243]
2023-09-24_04:54:00.023670710, [-120, 5334]
2023-09-24_04:54:00.023769338, [-26, 5567]
2023-09-24_04:54:00.023867966, [-141, 5465]
2023-09-24_04:54:00.023966594, [-338, 5243]
2023-09-24_04:54:00.024065222, [-445, 5312]
2023-09-24_04:54:00.024163850, [-498, 5419]
2023-09-24_04:54:00.024262478, [-180, 5342]
2023-09-24_04:54:00.024361106, [268, 5282]
2023-09-24_04:54:00.024459734, [220, 5307]
2023-09-24_04:54:00.024558362, [76, 5349]
2023-09-24_04:54:00.024656990, [54, 5442]
2023-09-24_04:54:00.024755618, [-156, 5471]
2023-09-24_04:54:00.024854245, [-202, 5382]
2023-09-24_04:54:00.024952873, [-223, 5254]
2023-09-24_04:54:00.025051501, [-218, 5244]
2023-09-24_04:54:00.025150129, [-145, 5288]
2023-09-24_04:54:00.025248757, [38, 5311]
2023-09-24_04:54:00.025347385, [221, 5328]
2023-09-24_04:54:00.025446013, [230, 5364]
2023-09-24_04:54:00.025544641, [155, 5334]
2023-09-24_04:54:00.025643269, [82, 5199]
2023-09-24_04:54:00.025741897, [36, 5025]
2023-09-24_04:54:00.025840525, [-138, 4947]
2023-09-24_04:54:00.025939153, [-308, 4982]
2023-09-24_04:54:00.026037781, [-201, 5124]
2023-09-24_04:54:00.026136409, [67, 5346]
2023-09-24_04:54:00.026235037, [239, 5322]
2023-09-24_04:54:00.026333665, [149, 5362]
2023-09-24_04:54:00.026432293, [16, 5509]
2023-09-24_04:54:00.026530921, [-47, 5365]
2023-09-24_04:54:00.026629549, [-46, 5107]
2023-09-24_04:54:00.026728177, [4, 5070]
2023-09-24_04:54:00.026826805, [7, 5163]
2023-09-24_04:54:00.026925433, [-106, 5290]
2023-09-24_04:54:00.027024061, [-204, 5308]
2023-09-24_04:54:00.027122689, [-46, 5215]
2023-09-24_04:54:00.027221317, [-53, 5236]
2023-09-24_04:54:00.027319944, [-177, 5246]
2023-09-24_04:54:00.027418572, [-209, 5304]
2023-09-24_04:54:00.027517200, [-75, 5357]
2023-09-24_04:54:00.027615828, [-73, 5314]
2023-09-24_04:54:00.027714456, [-392, 5265]
2023-09-24_04:54:00.027813084, [-446, 5269]
2023-09-24_04:54:00.027911712, [-229, 5244]
2023-09-24_04:54:00.028010340, [-167, 5164]
2023-09-24_04:54:00.028108968, [-188, 5210]
2023-09-24_04:54:00.028207596, [-169, 5218]
2023-09-24_04:54:00.028306224, [-293, 5272]
2023-09-24_04:54:00.028404852, [-474, 5180]
2023-09-24_04:54:00.028503480, [-548, 5105]
2023-09-24_04:54:00.028602108, [-342, 5340]
2023-09-24_04:54:00.028700736, [-108, 5562]
2023-09-24_04:54:00.028799364, [-154, 5615]
2023-09-24_04:54:00.028897992, [-399, 5476]
2023-09-24_04:54:00.028996620, [-575, 5222]
2023-09-24_04:54:00.029095248, [-511, 5093]
2023-09-24_04:54:00.029193876, [-332, 5072]
2023-09-24_04:54:00.029292504, [43, 5016]
2023-09-24_04:54:00.029391132, [205, 5003]
2023-09-24_04:54:00.029489760, [176, 5148]
2023-09-24_04:54:00.029588388, [107, 5153]
2023-09-24_04:54:00.029687016, [13, 5145]
2023-09-24_04:54:00.029785643, [38, 5223]
2023-09-24_04:54:00.029884271, [-33, 5381]
2023-09-24_04:54:00.029982899, [-54, 5456]
2023-09-24_04:54:00.030081527, [127, 5363]
2023-09-24_04:54:00.030180155, [200, 5291]
2023-09-24_04:54:00.030278783, [321, 5264]
2023-09-24_04:54:00.030377411, [558, 5213]
2023-09-24_04:54:00.030476039, [688, 5141]
2023-09-24_04:54:00.030574667, [728, 5192]
2023-09-24_04:54:00.030673295, [620, 5194]
2023-09-24_04:54:00.030771923, [476, 5239]
2023-09-24_04:54:00.030870551, [516, 5302]
2023-09-24_04:54:00.030969179, [750, 5349]
2023-09-24_04:54:00.031067807, [1071, 5330]
2023-09-24_04:54:00.031166435, [1222, 5283]
2023-09-24_04:54:00.031265063, [1241, 5213]
2023-09-24_04:54:00.031363691, [1133, 5200]
2023-09-24_04:54:00.031462319, [939, 5243]
2023-09-24_04:54:00.031560947, [1141, 5249]
2023-09-24_04:54:00.031659575, [1385, 5228]
2023-09-24_04:54:00.031758203, [1432, 5354]
2023-09-24_04:54:00.031856831, [1249, 5428]
2023-09-24_04:54:00.031955459, [1078, 5354]
2023-09-24_04:54:00.032054087, [1284, 5392]
2023-09-24_04:54:00.032152715, [1445, 5391]
2023-09-24_04:54:00.032251342, [1327, 5474]
2023-09-24_04:54:00.032349970, [1245, 5701]
2023-09-24_04:54:00.032448598, [1255, 5712]
2023-09-24_04:54:00.032547226, [1255, 5627]
2023-09-24_04:54:00.032645854, [1213, 5646]
2023-09-24_04:54:00.032744482, [1303, 5754]
2023-09-24_04:54:00.032843110, [1375, 5794]
2023-09-24_04:54:00.032941738, [1299, 5760]
2023-09-24_04:54:00.033040366, [1383, 5678]
2023-09-24_04:54:00.033138994, [1499, 5596]
2023-09-24_04:54:00.033237622, [1548, 5534]
2023-09-24_04:54:00.033336250, [1435, 5529]
2023-09-24_04:54:00.033434878, [1269, 5574]
2023-09-24_04:54:00.033533506, [1157, 5630]
2023-09-24_04:54:00.033632134, [1058, 5698]
2023-09-24_04:54:00.033730762, [1045, 5764]
2023-09-24_04:54:00.033829390, [1176, 5895]
2023-09-24_04:54:00.033928018, [1435, 5923]
2023-09-24_04:54:00.034026646, [1517, 5847]
2023-09-24_04:54:00.034125274, [1261, 5789]
2023-09-24_04:54:00.034223902, [1041, 5754]
2023-09-24_04:54:00.034322530, [1005, 5811]
2023-09-24_04:54:00.034421158, [1115, 5871]
2023-09-24_04:54:00.034519786, [1098, 5758]
2023-09-24_04:54:00.034618414, [974, 5843]
2023-09-24_04:54:00.034717041, [1028, 5998]
2023-09-24_04:54:00.034815669, [1078, 5946]
2023-09-24_04:54:00.034914297, [1025, 5899]
2023-09-24_04:54:00.035012925, [974, 5880]
2023-09-24_04:54:00.035111553, [909, 6027]
2023-09-24_04:54:00.035210181, [732, 6083]
2023-09-24_04:54:00.035308809, [792, 6094]
2023-09-24_04:54:00.035407437, [902, 6151]
2023-09-24_04:54:00.035506065, [926, 6108]
2023-09-24_04:54:00.035604693, [862, 5971]
2023-09-24_04:54:00.035703321, [788, 5886]
2023-09-24_04:54:00.035801949, [691, 5926]
2023-09-24_04:54:00.035900577, [424, 5954]
2023-09-24_04:54:00.035999205, [216, 5977]
2023-09-24_04:54:00.036097833, [302, 6006]
2023-09-24_04:54:00.036196461, [484, 5934]
2023-09-24_04:54:00.036295089, [537, 5870]
2023-09-24_04:54:00.036393717, [512, 5933]
2023-09-24_04:54:00.036492345, [522, 6110]
2023-09-24_04:54:00.036590973, [613, 6213]
2023-09-24_04:54:00.036689601, [549, 6112]
2023-09-24_04:54:00.036788229, [439, 5854]
2023-09-24_04:54:00.036886857, [292, 5727]
2023-09-24_04:54:00.036985485, [14, 5809]
2023-09-24_04:54:00.037084113, [-312, 5839]
2023-09-24_04:54:00.037182740, [-480, 5739]
2023-09-24_04:54:00.037281368, [-439, 5709]
2023-09-24_04:54:00.037379996, [-458, 5728]
2023-09-24_04:54:00.037478624, [-448, 5740]
2023-09-24_04:54:00.037577252, [-453, 5807]
2023-09-24_04:54:00.037675880, [-409, 5816]
2023-09-24_04:54:00.037774508, [-300, 5927]
2023-09-24_04:54:00.037873136, [-413, 6089]
2023-09-24_04:54:00.037971764, [-697, 6134]
2023-09-24_04:54:00.038070392, [-867, 5943]
2023-09-24_04:54:00.038169020, [-965, 5674]
2023-09-24_04:54:00.038267648, [-980, 5608]
2023-09-24_04:54:00.038366276, [-935, 5550]
2023-09-24_04:54:00.038464904, [-992, 5482]
2023-09-24_04:54:00.038563532, [-955, 5585]
2023-09-24_04:54:00.038662160, [-901, 5635]
2023-09-24_04:54:00.038760788, [-908, 5477]
2023-09-24_04:54:00.038859416, [-972, 5448]
2023-09-24_04:54:00.038958044, [-1124, 5478]
2023-09-24_04:54:00.039056672, [-1182, 5461]
2023-09-24_04:54:00.039155300, [-1017, 5538]
2023-09-24_04:54:00.039253928, [-891, 5649]
2023-09-24_04:54:00.039352556, [-1038, 5522]
2023-09-24_04:54:00.039451184, [-948, 5306]
2023-09-24_04:54:00.039549812, [-630, 5339]
2023-09-24_04:54:00.039648440, [-569, 5390]
2023-09-24_04:54:00.039747067, [-694, 5350]
2023-09-24_04:54:00.039845695, [-682, 5320]
2023-09-24_04:54:00.039944323, [-470, 5288]
2023-09-24_04:54:00.040042951, [-320, 5399]
2023-09-24_04:54:00.040141579, [-468, 5472]
2023-09-24_04:54:00.040240207, [-482, 5502]
2023-09-24_04:54:00.040338835, [-376, 5540]
2023-09-24_04:54:00.040437463, [-334, 5492]
2023-09-24_04:54:00.040536091, [-285, 5411]
2023-09-24_04:54:00.040634719, [-406, 5290]
2023-09-24_04:54:00.040733347, [-363, 5374]
2023-09-24_04:54:00.040831975, [-191, 5411]
2023-09-24_04:54:00.040930603, [119, 5209]
2023-09-24_04:54:00.041029231, [276, 5076]
2023-09-24_04:54:00.041127859, [256, 5191]
2023-09-24_04:54:00.041226487, [264, 5342]
2023-09-24_04:54:00.041325115, [172, 5318]
2023-09-24_04:54:00.041423743, [106, 5177]
2023-09-24_04:54:00.041522371, [8, 5083]
2023-09-24_04:54:00.041620999, [22, 5024]
2023-09-24_04:54:00.041719627, [43, 5090]
2023-09-24_04:54:00.041818255, [15, 5193]
2023-09-24_04:54:00.041916883, [287, 5253]
2023-09-24_04:54:00.042015511, [446, 5312]
2023-09-24_04:54:00.042114139, [379, 5286]
2023-09-24_04:54:00.042212766, [497, 5205]
2023-09-24_04:54:00.042311394, [590, 5279]
2023-09-24_04:54:00.042410022, [500, 5443]
2023-09-24_04:54:00.042508650, [369, 5436]
2023-09-24_04:54:00.042607278, [203, 5314]
2023-09-24_04:54:00.042705906, [250, 5329]
2023-09-24_04:54:00.042804534, [379, 5484]
2023-09-24_04:54:00.042903162, [404, 5411]
2023-09-24_04:54:00.043001790, [673, 5354]
2023-09-24_04:54:00.043100418, [911, 5482]
2023-09-24_04:54:00.043199046, [806, 5584]
2023-09-24_04:54:00.043297674, [688, 5721]
2023-09-24_04:54:00.043396302, [446, 5686]
2023-09-24_04:54:00.043494930, [359, 5611]
2023-09-24_04:54:00.043593558, [508, 5580]
2023-09-24_04:54:00.043692186, [475, 5547]
2023-09-24_04:54:00.043790814, [407, 5547]
2023-09-24_04:54:00.043889442, [322, 5563]
2023-09-24_04:54:00.043988070, [321, 5490]
2023-09-24_04:54:00.044086698, [465, 5399]
2023-09-24_04:54:00.044185326, [699, 5516]
2023-09-24_04:54:00.044283954, [1032, 5714]
2023-09-24_04:54:00.044382582, [1161, 5776]
2023-09-24_04:54:00.044481210, [1100, 5780]
2023-09-24_04:54:00.044579838, [881, 5785]
2023-09-24_04:54:00.044678465, [568, 5769]
2023-09-24_04:54:00.044777093, [404, 5694]
2023-09-24_04:54:00.044875721, [486, 5673]
2023-09-24_04:54:00.044974349, [727, 5807]
2023-09-24_04:54:00.045072977, [849, 5874]
2023-09-24_04:54:00.045171605, [1052, 5741]
2023-09-24_04:54:00.045270233, [1115, 5555]
2023-09-24_04:54:00.045368861, [921, 5525]
2023-09-24_04:54:00.045467489, [836, 5576]
2023-09-24_04:54:00.045566117, [841, 5558]
2023-09-24_04:54:00.045664745, [794, 5543]
2023-09-24_04:54:00.045763373, [708, 5680]
2023-09-24_04:54:00.045862001, [598, 5848]
2023-09-24_04:54:00.045960629, [598, 5800]
2023-09-24_04:54:00.046059257, [637, 5690]
2023-09-24_04:54:00.046157885, [747, 5686]
2023-09-24_04:54:00.046256513, [963, 5783]
2023-09-24_04:54:00.046355141, [874, 5756]
2023-09-24_04:54:00.046453769, [649, 5710]
2023-09-24_04:54:00.046552397, [621, 5761]
2023-09-24_04:54:00.046651025, [575, 5816]
2023-09-24_04:54:00.046749653, [527, 5888]
2023-09-24_04:54:00.046848281, [532, 5902]
2023-09-24_04:54:00.046946909, [428, 5806]
2023-09-24_04:54:00.047045537, [498, 5657]
2023-09-24_04:54:00.047144164, [572, 5671]
2023-09-24_04:54:00.047242792, [501, 5732]
2023-09-24_04:54:00.047341420, [555, 5721]
2023-09-24_04:54:00.047440048, [642, 5619]
2023-09-24_04:54:00.047538676, [667, 5513]
2023-09-24_04:54:00.047637304, [540, 5621]
2023-09-24_04:54:00.047735932, [460, 5636]
2023-09-24_04:54:00.047834560, [385, 5605]
2023-09-24_04:54:00.047933188, [281, 5625]
2023-09-24_04:54:00.048031816, [247, 5515]
2023-09-24_04:54:00.048130444, [388, 5486]
2023-09-24_04:54:00.048229072, [564, 5574]
2023-09-24_04:54:00.048327700, [447, 5593]
2023-09-24_04:54:00.048426328, [486, 5569]
2023-09-24_04:54:00.048524956, [657, 5459]
2023-09-24_04:54:00.048623584, [600, 5406]
2023-09-24_04:54:00.048722212, [516, 5477]
2023-09-24_04:54:00.048820840, [338, 5416]
2023-09-24_04:54:00.048919468, [163, 5286]
2023-09-24_04:54:00.049018096, [221, 5200]
2023-09-24_04:54:00.049116724, [412, 5150]
2023-09-24_04:54:00.049215352, [589, 5116]
2023-09-24_04:54:00.049313980, [740, 5135]
2023-09-24_04:54:00.049412608, [733, 5264]
2023-09-24_04:54:00.049511236, [712, 5343]
2023-09-24_04:54:00.049609863, [674, 5235]
2023-09-24_04:54:00.049708491, [698, 5034]
2023-09-24_04:54:00.049807119, [884, 4987]
2023-09-24_04:54:00.049905747, [989, 5021]
2023-09-24_04:54:00.050004375, [1066, 4994]
2023-09-24_04:54:00.050103003, [1173, 4982]
2023-09-24_04:54:00.050201631, [1101, 4930]
2023-09-24_04:54:00.050300259, [978, 4962]
2023-09-24_04:54:00.050398887, [1149, 5044]
2023-09-24_04:54:00.050497515, [1539, 5063]
2023-09-24_04:54:00.050596143, [1655, 5013]
2023-09-24_04:54:00.050694771, [1511, 4949]
2023-09-24_04:54:00.050793399, [1609, 4869]
2023-09-24_04:54:00.050892027, [1840, 4809]
2023-09-24_04:54:00.050990655, [1945, 4834]
2023-09-24_04:54:00.051089283, [1885, 4784]
2023-09-24_04:54:00.051187911, [1605, 4659]
2023-09-24_04:54:00.051286539, [1481, 4625]
2023-09-24_04:54:00.051385167, [1544, 4556]
2023-09-24_04:54:00.051483795, [1688, 4561]
2023-09-24_04:54:00.051582423, [1828, 4568]
2023-09-24_04:54:00.051681051, [1720, 4673]
2023-09-24_04:54:00.051779679, [1815, 4808]
2023-09-24_04:54:00.051878307, [1878, 4723]
2023-09-24_04:54:00.051976935, [1769, 4667]
2023-09-24_04:54:00.052075562, [1772, 4775]
2023-09-24_04:54:00.052174190, [1967, 4756]
2023-09-24_04:54:00.052272818, [2126, 4714]
2023-09-24_04:54:00.052371446, [2070, 4800]
